TimeFrame,DateTime,Year_Quarter,Time_Period,Year,Quarter,Location Id,Territorial_Authority,Dwelling Type,Number Of Beds,Median Rent,Geometric Mean Rent,Upper Quartile Rent,Lower Quartile Rent,Active Bonds,Total Bonds,Closed Bonds
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,132200.0,Auckland,House,3,740.0,744.0,803.0,714.0,99,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,132300.0,Auckland,House,3,550.0,523.0,575.0,480.0,135,15,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,132500.0,Auckland,House,3,580.0,555.0,600.0,510.0,81,6,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,132600.0,Auckland,House,3,570.0,572.0,610.0,525.0,135,15,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,132800.0,Auckland,House,3,820.0,848.0,925.0,763.0,90,6,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,132900.0,Auckland,House,3,550.0,535.0,583.0,498.0,111,12,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,133000.0,Auckland,House,3,760.0,691.0,850.0,660.0,63,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,133100.0,Auckland,House,3,570.0,571.0,600.0,530.0,90,9,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,133500.0,Auckland,House,3,870.0,854.0,963.0,750.0,51,9,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,133600.0,Auckland,House,3,715.0,704.0,850.0,620.0,75,15,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,134200.0,Auckland,House,3,695.0,735.0,753.0,650.0,54,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,134300.0,Auckland,House,3,545.0,588.0,608.0,534.0,9,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,134400.0,Auckland,House,3,750.0,726.0,923.0,668.0,96,15,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,134900.0,Auckland,House,3,580.0,570.0,590.0,550.0,114,15,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,135000.0,Auckland,House,3,588.0,579.0,599.0,553.0,159,12,15
